date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:54	45/45	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Apr%202018%2009:58:54%20GMT	http://xgio.net/robots.txt		(from )
16:58:55	19814/19814	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:03%20GMT	http://xgio.net/winters/	yes/http://xgio.net/winters/xgio.net/winters/index.html	(from )
16:58:55	109522/109522	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202016%2007:42:54%20GMT	http://xgio.net/winters/css/lib/bootstrap.min.css	yes/http://xgio.net/winters/xgio.net/winters/css/lib/bootstrap.min.css	(from http://xgio.net/winters/)
16:58:55	6138/6138	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202016%2007:42:55%20GMT	http://xgio.net/winters/css/lib/owl.carousel.css	yes/http://xgio.net/winters/xgio.net/winters/css/lib/owl.carousel.css	(from http://xgio.net/winters/)
16:58:56	21987/21987	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202016%2007:42:54%20GMT	http://xgio.net/winters/css/lib/font-awesome.min.css	yes/http://xgio.net/winters/xgio.net/winters/css/lib/font-awesome.min.css	(from http://xgio.net/winters/)
16:58:56	54356/54356	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Nov%202016%2007:22:23%20GMT	http://xgio.net/winters/css/style.css	yes/http://xgio.net/winters/xgio.net/winters/css/style.css	(from http://xgio.net/winters/)
16:58:56	19813/19813	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:03%20GMT	http://xgio.net/winters/index.html	yes/http://xgio.net/winters/xgio.net/winters/index-2.html	(from http://xgio.net/winters/)
16:58:57	10637/10637	---M--	200	added ('OK')	image/png	etag:%22582ab7b4-298d%22	http://xgio.net/winters/images/logo.png	yes/http://xgio.net/winters/xgio.net/winters/images/logo.png	(from http://xgio.net/winters/)
16:58:57	21538/21538	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:01%20GMT	http://xgio.net/winters/grid.html	yes/http://xgio.net/winters/xgio.net/winters/grid.html	(from http://xgio.net/winters/)
16:58:57	18457/18457	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:01%20GMT	http://xgio.net/winters/grid-rightsidebar.html	yes/http://xgio.net/winters/xgio.net/winters/grid-rightsidebar.html	(from http://xgio.net/winters/)
16:58:58	18458/18458	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:17:58%20GMT	http://xgio.net/winters/grid-leftsidebar.html	yes/http://xgio.net/winters/xgio.net/winters/grid-leftsidebar.html	(from http://xgio.net/winters/)
16:58:58	20852/20852	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:05%20GMT	http://xgio.net/winters/list.html	yes/http://xgio.net/winters/xgio.net/winters/list.html	(from http://xgio.net/winters/)
16:58:59	24483/24483	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:05%20GMT	http://xgio.net/winters/list-rightsidebar.html	yes/http://xgio.net/winters/xgio.net/winters/list-rightsidebar.html	(from http://xgio.net/winters/)
16:58:59	24481/24481	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:03%20GMT	http://xgio.net/winters/list-leftsidebar.html	yes/http://xgio.net/winters/xgio.net/winters/list-leftsidebar.html	(from http://xgio.net/winters/)
16:58:59	16376/16376	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:11%20GMT	http://xgio.net/winters/timeline.html	yes/http://xgio.net/winters/xgio.net/winters/timeline.html	(from http://xgio.net/winters/)
16:59:00	20007/20007	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:11%20GMT	http://xgio.net/winters/timeline-rightsidebar.html	yes/http://xgio.net/winters/xgio.net/winters/timeline-rightsidebar.html	(from http://xgio.net/winters/)
16:59:00	20008/20008	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:09%20GMT	http://xgio.net/winters/timeline-leftsidebar.html	yes/http://xgio.net/winters/xgio.net/winters/timeline-leftsidebar.html	(from http://xgio.net/winters/)
16:59:00	16225/16225	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:09%20GMT	http://xgio.net/winters/standard.html	yes/http://xgio.net/winters/xgio.net/winters/standard.html	(from http://xgio.net/winters/)
16:59:00	19853/19853	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:07%20GMT	http://xgio.net/winters/standard-leftsidebar.html	yes/http://xgio.net/winters/xgio.net/winters/standard-leftsidebar.html	(from http://xgio.net/winters/)
16:59:01	9181/9181	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:17:57%20GMT	http://xgio.net/winters/about.html	yes/http://xgio.net/winters/xgio.net/winters/about.html	(from http://xgio.net/winters/)
16:59:01	18094/18094	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:17:56%20GMT	http://xgio.net/winters/category.html	yes/http://xgio.net/winters/xgio.net/winters/category.html	(from http://xgio.net/winters/)
16:59:02	18255/18255	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:18:07%20GMT	http://xgio.net/winters/single.html	yes/http://xgio.net/winters/xgio.net/winters/single.html	(from http://xgio.net/winters/)
16:59:03	34244/34244	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb7-85c4%22	http://xgio.net/winters/images/popular-post/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/popular-post/1.jpg	(from http://xgio.net/winters/)
16:59:03	14601/14601	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Nov%202016%2007:17:58%20GMT	http://xgio.net/winters/contact.html	yes/http://xgio.net/winters/xgio.net/winters/contact.html	(from http://xgio.net/winters/)
16:59:05	23720/23720	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb7-5ca8%22	http://xgio.net/winters/images/popular-post/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/popular-post/2.jpg	(from http://xgio.net/winters/)
16:59:06	28381/28381	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb9-6edd%22	http://xgio.net/winters/images/popular-post/3.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/popular-post/3.jpg	(from http://xgio.net/winters/)
16:59:07	22557/22557	---M--	200	added ('OK')	image/jpeg	etag:%22582abca9-581d%22	http://xgio.net/winters/images/feature/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/feature/1.jpg	(from http://xgio.net/winters/)
16:59:09	34340/34340	---M--	200	added ('OK')	image/jpeg	etag:%22582abca9-8624%22	http://xgio.net/winters/images/feature/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/feature/2.jpg	(from http://xgio.net/winters/)
16:59:10	24529/24529	---M--	200	added ('OK')	image/jpeg	etag:%22582abcab-5fd1%22	http://xgio.net/winters/images/feature/4.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/feature/4.jpg	(from http://xgio.net/winters/)
16:59:11	2682/2682	---M--	200	added ('OK')	image/jpeg	etag:%22582abc82-a7a%22	http://xgio.net/winters/images/author/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/author/1.jpg	(from http://xgio.net/winters/)
16:59:13	45263/45263	---M--	200	added ('OK')	image/jpeg	etag:%22582abcab-b0cf%22	http://xgio.net/winters/images/feature/3.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/feature/3.jpg	(from http://xgio.net/winters/)
16:59:16	55400/55400	---M--	200	added ('OK')	image/jpeg	etag:%22582abcad-d868%22	http://xgio.net/winters/images/feature/5.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/feature/5.jpg	(from http://xgio.net/winters/)
16:59:19	38819/38819	---M--	200	added ('OK')	image/jpeg	etag:%22582abc9f-97a3%22	http://xgio.net/winters/images/blog/3.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/3.jpg	(from http://xgio.net/winters/)
16:59:23	21226/21226	---M--	200	added ('OK')	image/jpeg	etag:%22582ab7b0-52ea%22	http://xgio.net/winters/images/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/2.jpg	(from http://xgio.net/winters/)
16:59:23	2648/2648	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb4-a58%22	http://xgio.net/winters/images/latest/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/latest/1.jpg	(from http://xgio.net/winters/)
16:59:24	3169/3169	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb4-c61%22	http://xgio.net/winters/images/latest/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/latest/2.jpg	(from http://xgio.net/winters/)
16:59:24	2671/2671	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb5-a6f%22	http://xgio.net/winters/images/latest/3.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/latest/3.jpg	(from http://xgio.net/winters/)
16:59:25	4645/4645	---M--	200	added ('OK')	image/jpeg	etag:%22582abcae-1225%22	http://xgio.net/winters/images/flickr/1.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/1.jpg	(from http://xgio.net/winters/)
16:59:26	5299/5299	---M--	200	added ('OK')	image/jpeg	etag:%22582abcaf-14b3%22	http://xgio.net/winters/images/flickr/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/2.jpg	(from http://xgio.net/winters/)
16:59:27	3931/3931	---M--	200	added ('OK')	image/jpeg	etag:%22582abcaf-f5b%22	http://xgio.net/winters/images/flickr/3.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/3.jpg	(from http://xgio.net/winters/)
16:59:28	106650/106650	---M--	200	added ('OK')	image/jpeg	etag:%22582abc95-1a09a%22	http://xgio.net/winters/images/blog/2.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/2.jpg	(from http://xgio.net/winters/)
16:59:28	74917/74917	---M--	200	added ('OK')	image/jpeg	etag:%22582abca0-124a5%22	http://xgio.net/winters/images/blog/4.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/blog/4.jpg	(from http://xgio.net/winters/)
16:59:28	4203/4203	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb0-106b%22	http://xgio.net/winters/images/flickr/4.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/4.jpg	(from http://xgio.net/winters/)
16:59:29	3548/3548	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb0-ddc%22	http://xgio.net/winters/images/flickr/5.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/5.jpg	(from http://xgio.net/winters/)
16:59:29	4201/4201	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb1-1069%22	http://xgio.net/winters/images/flickr/6.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/6.jpg	(from http://xgio.net/winters/)
16:59:29	2481/2481	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb2-9b1%22	http://xgio.net/winters/images/flickr/8.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/8.jpg	(from http://xgio.net/winters/)
16:59:30	5027/5027	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb1-13a3%22	http://xgio.net/winters/images/flickr/7.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/7.jpg	(from http://xgio.net/winters/)
16:59:30	4159/4159	---M--	200	added ('OK')	image/jpeg	etag:%22582abcb2-103f%22	http://xgio.net/winters/images/flickr/9.jpg	yes/http://xgio.net/winters/xgio.net/winters/images/flickr/9.jpg	(from http://xgio.net/winters/)
16:59:30	0/0	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Apr%202018%2009:59:30%20GMT	http://xgio.net/winters/twitter/index.php	yes/http://xgio.net/winters/xgio.net/winters/twitter/index.html	(from http://xgio.net/winters/)
16:59:31	95962/95962	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2015%20Nov%202016%2007:43:55%20GMT	http://xgio.net/winters/js/lib/jquery-1.11.2.min.js	yes/http://xgio.net/winters/xgio.net/winters/js/lib/jquery-1.11.2.min.js	(from http://xgio.net/winters/)
